journal;concept;topconcept
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Neuroscience (miscellaneous);Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Neuroscience (miscellaneous);Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/2568>;Neuroscience (miscellaneous);Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/4095>;Chemistry (miscellaneous);Chemistry
<http://data.gesis.org/softwarekg/PMC/journal/1197>;Orthopedics and Sports Medicine;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1197>;Surgery;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/481>;Veterinary (miscellaneous);Veterinary
<http://data.gesis.org/softwarekg/PMC/journal/481>;Veterinary (miscellaneous);Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/481>;Animal Science and Zoology;Veterinary
<http://data.gesis.org/softwarekg/PMC/journal/481>;Animal Science and Zoology;Agricultural and Biological Sciences
<http://data.gesis.org/softwarekg/PMC/journal/7936>;Molecular Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/7936>;Molecular Biology;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/7936>;Molecular Biology;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/7936>;Computer Science Applications;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/7936>;Computer Science Applications;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/7936>;Computer Science Applications;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/7936>;Biochemistry;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/7936>;Biochemistry;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/7936>;Biochemistry;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/7936>;Applied Mathematics;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/7936>;Applied Mathematics;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/7936>;Applied Mathematics;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/7936>;Structural Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/7936>;Structural Biology;Computer Science
<http://data.gesis.org/softwarekg/PMC/journal/7936>;Structural Biology;Mathematics
<http://data.gesis.org/softwarekg/PMC/journal/7277>;Molecular Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/7277>;Molecular Biology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/7277>;Biochemistry;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/7277>;Biochemistry;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/7277>;Medicine (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/7277>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/7277>;Cell Biology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/7277>;Cell Biology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/7277>;Biotechnology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/7277>;Biotechnology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/5662>;Drug Discovery;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/3727>;Pharmacology (medical);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3727>;Oncology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3768>;Cancer Research;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/3768>;Cancer Research;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3768>;Oncology;Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/3768>;Oncology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/6574>;Health Policy;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/707>;Nursing (miscellaneous);Nursing
<http://data.gesis.org/softwarekg/PMC/journal/3203>;Public Health, Environmental and Occupational Health;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3203>;Public Health, Environmental and Occupational Health;Social Sciences
<http://data.gesis.org/softwarekg/PMC/journal/3203>;Public Health, Environmental and Occupational Health;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/3203>;Safety Research;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3203>;Safety Research;Social Sciences
<http://data.gesis.org/softwarekg/PMC/journal/3203>;Safety Research;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/3203>;Toxicology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3203>;Toxicology;Social Sciences
<http://data.gesis.org/softwarekg/PMC/journal/3203>;Toxicology;Pharmacology, Toxicology and Pharmaceutics
<http://data.gesis.org/softwarekg/PMC/journal/5930>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/5930>;Pulmonary and Respiratory Medicine;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/5930>;Oncology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/50>;Pulmonary and Respiratory Medicine;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/50>;Critical Care and Intensive Care Medicine;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/7746>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/7746>;Complementary and Alternative Medicine;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1580>;Multidisciplinary;Multidisciplinary
<http://data.gesis.org/softwarekg/PMC/journal/4700>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/1542>;Public Health, Environmental and Occupational Health;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Medicine (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Medicine (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Medicine (miscellaneous);Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Medicine (miscellaneous);Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Immunology and Microbiology (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Immunology and Microbiology (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Immunology and Microbiology (miscellaneous);Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Immunology and Microbiology (miscellaneous);Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Neuroscience (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Neuroscience (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Neuroscience (miscellaneous);Immunology and Microbiology
<http://data.gesis.org/softwarekg/PMC/journal/2506>;Neuroscience (miscellaneous);Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/8329>;Neuroscience (miscellaneous);Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/8329>;Neuroscience (miscellaneous);Medicine
<http://data.gesis.org/softwarekg/PMC/journal/8329>;Histology;Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/8329>;Histology;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/8329>;Anatomy;Neuroscience
<http://data.gesis.org/softwarekg/PMC/journal/8329>;Anatomy;Medicine
<http://data.gesis.org/softwarekg/PMC/journal/3543>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Biochemistry, Genetics and Molecular Biology
<http://data.gesis.org/softwarekg/PMC/journal/3543>;Biochemistry, Genetics and Molecular Biology (miscellaneous);Medicine
